downloads,documentation,link_update
http://www.nyc.gov/html/dcp/download/bytes/nyadwi_13b.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyzma_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_santab_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nyadwi_13c.zip,http://www.nyc.gov/html/dcp/pdf/bytes/padgui.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_nodes_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nyadwi_13dav.zip,http://www.nyc.gov/html/dcp/pdf/bytes/paws_user_guide.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_population_projections_001.xls
http://www.nyc.gov/html/dcp/download/bytes/nyadwi_14aav.zip,http://www.nyc.gov/html/dcp/pdf/bytes/pluto_datadictionary.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_POPS_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nybb_12c.zip,http://www.nyc.gov/html/dcp/pdf/bytes/plutolayout.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_areasofinterest_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nybb_13a.zip,http://www.nyc.gov/html/dcp/pdf/bytes/plutouserguide.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_coastalboundary_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nybb_13b.zip,http://www.nyc.gov/html/dcp/pdf/bytes/sel_fac_datainfo.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_ldgma_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nybb_13c.zip,http://www.nyc.gov/html/dcp/pdf/bytes/sel_fac_user_guide.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_wap_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nybb_13dav.zip,http://www.nyc.gov/html/dcp/pdf/bytes/selfac_datainfo.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_paws_db_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nybb_14aav.zip,http://www.nyc.gov/html/dcp/pdf/bytes/selfac_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_paws_shp_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nybbwi_12c.zip,http://www.nyc.gov/html/dcp/pdf/bytes/snd_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_waterfrontparks_shp_001.zip 
http://www.nyc.gov/html/dcp/download/bytes/nybbwi_13a.zip,http://www.nyc.gov/html/dcp/pdf/bytes/snd_userguide.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_nhoodsnames_001.zip 
http://www.nyc.gov/html/dcp/download/bytes/nybbwi_13b.zip,http://www.nyc.gov/html/dcp/pdf/bytes/zoningtaxlotdatabase_datadictionary.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_lionmi_001.zip 
http://www.nyc.gov/html/dcp/download/bytes/nybbwi_13c.zip,,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nypaav_001.zip 
http://www.nyc.gov/html/dcp/download/bytes/nybbwi_13dav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nybbwi_14aav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_areasofinterest20101.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_cb_201109.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_facilities20081_access.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_facilities20081_text.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_facilities20111_access.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_facilities20111_text.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_facilities20112_access.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_facilities20112_text.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_facilities2012_access.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_facilities2012_text.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_facilities2012v1_access.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_facilities2012v1_text.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_facilities2013_access.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_facilities2013_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_facilities2013_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_facilities2013_text.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_freshzoning20101.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_freshzoning20111.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_ih_201109.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_ih_201111.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_ih_201211.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_ih_201304.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_ldgma_201109.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_lion12c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_lion13a.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_lion13b.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_lion13cav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_lion13cshp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_lion13dav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_lion13dshp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_lion14aav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_nhoodsnames20091.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_nhoodsnames20101.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_paws10v1db.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_paws10v1shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_02a.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_03c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_04c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_05d.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_06c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_07c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_09v1.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_09v2.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_10v1.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_10v2.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_11v1.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_11v2.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_12v1.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_12v2.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_13v1.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_pluto_13v2.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_wap_201109.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_waterfrontparks10v1shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_zoningtaxlotdb_201307.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_zoningtaxlotdb_201308.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_zoningtaxlotdb_201309.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_zoningtaxlotdb_201310.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_zoningtaxlotdb_201311.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_zoningtaxlotdb_201312.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_zoningtaxlotdb_201401.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_zoningtaxlotdb_201402.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyc_zoningtaxlotdb_201403.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2000_12c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2000_13a.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2000_13b.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2000_13c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2000_13dav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2000_14aav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2000wi_12c.zip,,
